run_id,tag,split,best_model_exists,latest_weights_exists,history_exists,preds_exists,keras_version_saved,model_class_name,status
exp1_grayscale_fr_split0,exp1,0,True,True,True,True,3.13.2,Functional,PASS
exp1_grayscale_ft_split0,exp1,0,True,True,True,True,3.13.2,Functional,PASS
exp1_rgb_fr_split0,exp1,0,True,True,True,True,3.13.2,Functional,PASS
exp1_rgb_ft_split0,exp1,0,True,True,True,True,3.13.2,Functional,PASS
exp1_grayscale_fr_split1,exp1,1,True,True,True,True,3.13.2,Functional,PASS
exp1_grayscale_ft_split1,exp1,1,True,True,True,True,3.13.2,Functional,PASS
exp1_rgb_fr_split1,exp1,1,True,True,True,True,3.13.2,Functional,PASS
exp1_rgb_ft_split1,exp1,1,True,True,True,True,3.13.2,Functional,PASS
exp1_grayscale_fr_split2,exp1,2,True,True,True,True,3.13.2,Functional,PASS
exp1_grayscale_ft_split2,exp1,2,True,True,True,True,3.13.2,Functional,PASS
exp1_rgb_fr_split2,exp1,2,True,True,True,True,3.13.2,Functional,PASS
exp1_rgb_ft_split2,exp1,2,True,True,True,True,3.13.2,Functional,PASS
exp1_grayscale_fr_split3,exp1,3,True,True,True,True,3.13.2,Functional,PASS
exp1_grayscale_ft_split3,exp1,3,True,True,True,True,3.13.2,Functional,PASS
exp1_rgb_fr_split3,exp1,3,True,True,True,True,3.13.2,Functional,PASS
exp1_rgb_ft_split3,exp1,3,True,True,True,True,3.13.2,Functional,PASS
exp1_grayscale_fr_split4,exp1,4,True,True,True,True,3.13.2,Functional,PASS
exp1_grayscale_ft_split4,exp1,4,True,True,True,True,3.13.2,Functional,PASS
exp1_rgb_fr_split4,exp1,4,True,True,True,True,3.13.2,Functional,PASS
exp1_rgb_ft_split4,exp1,4,True,True,True,True,3.13.2,Functional,PASS
baseline_blur_split0,baseline_blur,0,True,True,True,True,3.13.2,Functional,PASS
baseline_blur_split1,baseline_blur,1,True,True,True,True,3.13.2,Functional,PASS
baseline_blur_split2,baseline_blur,2,True,True,True,True,3.13.2,Functional,PASS
baseline_blur_split3,baseline_blur,3,True,True,True,True,3.13.2,Functional,PASS
baseline_blur_split4,baseline_blur,4,True,True,True,True,3.13.2,Functional,PASS
