run_id,tag,split,scheme,finetune,train_seed,blur,accuracy,precision,recall,f1,auc,brier,n_test,tn,fp,fn,tp
exp1_grayscale_fr_split0,exp1,0,grayscale,False,42,False,0.928494623655914,0.9519774011299436,0.9249771271729186,0.9382830626450116,0.9783593831076269,0.05410570932140709,5580,2148,153,246,3033
exp1_grayscale_ft_split0,exp1,0,grayscale,True,42,False,0.957168458781362,0.9828462515883101,0.9435803598658128,0.9628131320989575,0.990698317384316,0.03341131301301296,5580,2247,54,185,3094
exp1_rgb_fr_split0,exp1,0,rgb,False,42,False,0.9507168458781362,0.9667495338719702,0.9487648673376029,0.9576727720486379,0.9859725255696536,0.03977780152234732,5580,2194,107,168,3111
exp1_rgb_ft_split0,exp1,0,rgb,True,42,False,0.9636200716845879,0.9879441624365483,0.94967978042086,0.9684341470999844,0.9922875862212472,0.029244301336061707,5580,2263,38,165,3114
exp1_grayscale_fr_split1,exp1,1,grayscale,False,42,False,0.9307668425954673,0.8831808585503167,0.9565548780487805,0.9184046834979875,0.9832173338103208,0.0525951515873804,3221,1743,166,57,1255
exp1_grayscale_ft_split1,exp1,1,grayscale,True,42,False,0.9649177274138466,0.9724192277383766,0.9405487804878049,0.9562185199535064,0.9912385491062874,0.02734040818328184,3221,1874,35,78,1234
exp1_rgb_fr_split1,exp1,1,rgb,False,42,False,0.9549829245575908,0.9383921863260706,0.9519817073170732,0.9451381006432085,0.9894654173427538,0.03567922498594513,3221,1827,82,63,1249
exp1_rgb_ft_split1,exp1,1,rgb,True,42,False,0.9686432784849426,0.969743987587277,0.9527439024390244,0.9611687812379854,0.992879125196438,0.025538917919383997,3221,1870,39,62,1250
exp1_grayscale_fr_split2,exp1,2,grayscale,False,42,False,0.9350918790752816,0.9215561224489796,0.9377027903958468,0.9295593438404631,0.9820045152448813,0.05027476912140964,3374,1710,123,96,1445
exp1_grayscale_ft_split2,exp1,2,grayscale,True,42,False,0.966212211025489,0.9672560576293385,0.9584685269305646,0.9628422425032594,0.992606879499889,0.026757352014557034,3374,1783,50,64,1477
exp1_rgb_fr_split2,exp1,2,rgb,False,42,False,0.9555423829282751,0.9455477258167841,0.9578195976638546,0.9516441005802708,0.990604509651274,0.03427895501968427,3374,1748,85,65,1476
exp1_rgb_ft_split2,exp1,2,rgb,True,42,False,0.9718435091879075,0.9719321148825065,0.9662556781310837,0.9690855841197527,0.9939773133195475,0.023206813895432284,3374,1790,43,52,1489
exp1_grayscale_fr_split3,exp1,3,grayscale,False,42,False,0.896255371393493,0.8603395061728395,0.8765723270440252,0.868380062305296,0.9611181572897073,0.07518556563498482,3258,1805,181,157,1115
exp1_grayscale_ft_split3,exp1,3,grayscale,True,42,False,0.9352363413136894,0.9593073593073593,0.8710691823899371,0.9130613926658426,0.978008005725614,0.051440220927167574,3258,1939,47,164,1108
exp1_rgb_fr_split3,exp1,3,rgb,False,42,False,0.9229588704726827,0.9029202841357538,0.89937106918239,0.9011421819614022,0.9732039369929126,0.058693201785777076,3258,1863,123,128,1144
exp1_rgb_ft_split3,exp1,3,rgb,True,42,False,0.9383057090239411,0.9534292972057579,0.8852201257861635,0.9180595189563799,0.9810287579091376,0.04787613653574187,3258,1931,55,146,1126
exp1_grayscale_fr_split4,exp1,4,grayscale,False,42,False,0.9187817258883249,0.9460347254809949,0.8822757111597375,0.9130434782608695,0.9775495744999109,0.058482650171896154,4728,2328,115,269,2016
exp1_grayscale_ft_split4,exp1,4,grayscale,True,42,False,0.9640439932318104,0.9765660207300586,0.9483588621444201,0.9622557726465364,0.9917433008703471,0.029029106225971518,4728,2391,52,118,2167
exp1_rgb_fr_split4,exp1,4,rgb,False,42,False,0.9517766497461929,0.9573143619386394,0.9422319474835886,0.9497132774591972,0.9873574388844651,0.03807115869680978,4728,2347,96,132,2153
exp1_rgb_ft_split4,exp1,4,rgb,True,42,False,0.9672165820642978,0.9771505376344086,0.9544857768052516,0.9656851892849236,0.9925535469089105,0.02659122307556833,4728,2392,51,104,2181
baseline_color_split0,baseline_color,0,coloronly,False,42,False,0.8016129032258065,0.9483897605284889,0.700518450747179,0.805823539729872,0.8913158008789686,0.14238714751364015,5580,2176,125,982,2297
